,Date,Price,Open,High,Low,Vol.,Change %,day_of_year,score
135,2024-02-02,"43,194.7","43,083.7","43,459.3","42,596.3",42.65K,0.26%,33,0.1881771382082329
136,2024-02-01,"43,081.4","42,580.1","43,263.1","41,890.5",47.69K,1.18%,32,0.2358421829292807
137,2024-01-31,"42,580.5","42,946.2","43,739.7","42,315.4",56.48K,-0.85%,31,0.2277930203609639
138,2024-01-30,"42,946.2","43,303.3","43,817.9","42,702.9",55.13K,-0.82%,30,0.2344153595024354
139,2024-01-29,"43,299.8","42,031.4","43,305.6","41,824.7",45.23K,3.02%,29,0.1965376898358608
140,2024-01-28,"42,030.7","42,121.3","42,817.1","41,649.0",32.53K,-0.21%,28,0.1753366217231482
141,2024-01-27,"42,120.9","41,811.5","42,191.8","41,413.0",20.46K,0.74%,27,0.2278218999015728
142,2024-01-26,"41,811.3","39,942.0","42,214.8","39,831.2",69.47K,4.70%,26,0.2106942814497603
143,2024-01-25,"39,935.7","40,085.1","40,285.8","39,546.3",46.30K,-0.37%,25,0.2328697880083197
144,2024-01-24,"40,086.0","39,891.3","40,535.2","39,510.0",58.64K,0.49%,24,0.1826527320921209
145,2024-01-23,"39,888.8","39,555.0","40,159.4","38,546.9",82.67K,0.84%,23,0.2213235001171363
146,2024-01-22,"39,556.4","41,581.7","41,684.9","39,468.4",85.10K,-4.87%,22,0.2071780134834828
147,2024-01-21,"41,583.2","41,695.4","41,878.0","41,504.5",16.11K,-0.27%,21,0.2381478522405282
148,2024-01-20,"41,695.4","41,647.6","41,858.0","41,449.5",22.27K,0.11%,20,0.1905602487569733
149,2024-01-19,"41,648.0","41,293.8","42,164.6","40,305.4",72.64K,0.86%,19,0.2104808552130856
150,2024-01-18,"41,292.7","42,763.5","42,908.0","40,682.6",70.35K,-3.45%,18,0.1985665506813863
151,2024-01-17,"42,768.7","43,139.1","43,192.3","42,211.8",50.44K,-0.87%,17,0.2397617283476227
152,2024-01-16,"43,145.5","42,515.2","43,563.7","42,093.1",63.93K,1.49%,16,0.2257939743305681
153,2024-01-15,"42,510.7","41,747.6","43,348.9","41,719.2",52.08K,1.83%,15,0.2349834419838408
154,2024-01-14,"41,746.1","42,851.3","43,069.4","41,739.6",37.14K,-2.58%,14,0.2300316143113296
155,2024-01-13,"42,851.3","42,836.7","43,248.6","42,443.3",48.18K,0.04%,13,0.2620951475258697
156,2024-01-12,"42,835.9","46,348.1","46,503.2","41,857.9",136.92K,-7.58%,12,0.21727502349056
157,2024-01-11,"46,348.2","46,629.3","48,923.7","45,651.8",131.04K,-0.60%,11,0.2085028780123687
158,2024-01-10,"46,629.3","46,112.0","47,654.3","44,403.6",131.48K,1.08%,10,0.2185062751177702
159,2024-01-09,"46,129.0","46,959.2","47,880.1","45,333.9",100.09K,-1.77%,9,0.1934682507604106
160,2024-01-08,"46,962.2","43,934.2","47,196.7","43,251.0",103.09K,6.91%,8,0.1909459108605322
161,2024-01-07,"43,927.3","43,973.5","44,481.2","43,627.9",29.53K,-0.09%,7,0.2304552620074038
162,2024-01-06,"43,967.9","44,156.6","44,203.2","43,424.0",24.26K,-0.43%,6,0.2119070406085013
163,2024-01-05,"44,156.9","44,163.0","44,312.1","42,629.0",68.07K,0.00%,5,0.2172934957981216
164,2024-01-04,"44,157.0","42,836.1","44,744.5","42,632.8",68.05K,3.08%,4,0.1845542787535585
165,2024-01-03,"42,836.1","44,943.7","45,492.7","40,888.3",117.65K,-4.69%,3,0.2658721933940091
166,2024-01-02,"44,943.7","44,182.9","45,885.4","44,166.0",97.84K,1.72%,2,0.1891125984524577
167,2024-01-01,"44,183.4","42,272.5","44,187.0","42,196.7",36.30K,4.52%,1,0.2518399320456015
